name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-16 00:00:00,D,7555.959791666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-16 00:00:00,D,8902.371354166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-17 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-17 00:00:00,D,58.770833333,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-17 00:00:00,D,92.009375000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-17 00:00:00,D,47672.411666666,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-17 00:00:00,D,5791.239791666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-17 00:00:00,D,13365.141354166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-18 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-18 00:00:00,D,45.185106382,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-18 00:00:00,D,81.183695652,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-18 00:00:00,D,26842.512708333,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-18 00:00:00,D,7014.348020833,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-18 00:00:00,D,12534.458958333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-19 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-19 00:00:00,D,44.190526315,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-19 00:00:00,D,76.987368421,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-19 00:00:00,D,30738.821875000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-19 00:00:00,D,5837.978437500,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-19 00:00:00,D,13773.163541666,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-20 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-20 00:00:00,D,47.739784946,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-20 00:00:00,D,82.538297872,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-20 00:00:00,D,27810.108500000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-20 00:00:00,D,5756.973894736,Domestic Hot Water for Alice Cook House
